row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
set,cell-structure-1,細胞の構造と働き,"細胞の基本的な構造、細胞小器官の機能、そして細胞がどのようにして生命活動を維持しているかに関する問題です。",FALSE,,,,,,
question,,,,,"cell-structure-q1","問1","細胞説に関する説明として、適切でないものを次の選択肢から一つ選びなさい。(1) すべての生物は細胞からできている。(2) 細胞は生命の基本単位である。(3) すべての細胞は、無機物から自然に発生する。(4) すべての細胞は、細胞の分裂によって生じる。","細胞説を提唱したシュライデン、シュワン、そしてそれを発展させたフィルヒョーの考えを思い出してみましょう。","(3)","細胞説では、フィルヒョーによって「すべての細胞は、細胞から生じる」と提唱され、細胞の自然発生は否定されました。生物の体は細胞を基本単位として構成され、細胞分裂によって増殖します。"
question,,,,,"cell-structure-q2","問2","動物細胞と植物細胞に共通して見られる細胞小器官を、次の選択肢からすべて選びなさい。(ア) 核 (イ) ミトコンドリア (ウ) 葉緑体 (エ) 細胞壁 (オ) 中心体 (カ) 細胞膜","エネルギー生産や遺伝情報の維持など、両方の細胞が生きていく上で不可欠な構造を考えてみましょう。","(ア)、(イ)、(カ)","核（遺伝情報）、ミトコンドリア（呼吸によるエネルギー生産）、細胞膜（細胞内外の仕切り）は、動物細胞と植物細胞の両方に存在する基本的な構造です。葉緑体と細胞壁は植物細胞に特有で、中心体は主に動物細胞に見られます。"
question,,,,,"cell-structure-q3","問3","次の細胞小器官のうち、二重の膜（二重膜）で囲まれていないものを一つ選びなさい。(1) 核 (2) ミトコンドリア (3) 葉緑体 (4) リソソーム","リソソームはどのような働きをする細胞小器官だったか思い出してみましょう。分解酵素が含まれています。","(4)","核、ミトコンドリア、葉緑体は内外2枚の膜からなる二重膜構造を持っています。一方、リソソームは1枚の生体膜からなる小胞で、内部に加水分解酵素を含んでいます。"
question,,,,,"cell-structure-q4","問4","原核細胞と真核細胞の最も決定的な違いは何か、簡潔に説明しなさい。","プリントの図や説明で、動物細胞や植物細胞（真核細胞）にはあって、大腸菌（原核細胞）にはない、重要な区画は何でしたか。","核膜に包まれた核の有無。","真核細胞は核膜に覆われた核を持ち、その中にDNAが格納されています。一方、原核細胞は核膜がなく、DNAは核様体と呼ばれる領域に裸の状態で存在します。"
question,,,,,"cell-structure-q5","問5","タンパク質の合成と輸送に関わる一連の細胞小器官の連携について説明したい。次の文中の空欄（ ア ）〜（ ウ ）に最も適する語句を答えなさい。核のDNA情報をもとに（ ア ）でタンパク質が合成される。合成されたタンパク質は（ イ ）に取り込まれ、糖鎖の付加などの修飾を受けた後、（ ウ ）へと輸送される。ここでさらに濃縮・選別され、小胞に包まれて細胞外へ分泌されたり、他の細胞小器官へ運ばれたりする。","タンパク質が作られる場所、そしてそれが加工されて送り出される流れをイメージしてみましょう。工場での製品作りに似ています。","（ア）リボソーム （イ）小胞体 （ウ）ゴルジ体","タンパク質合成はリボソームで行われます。合成されたタンパク質の多くは小胞体で立体構造の形成や修飾を受け、その後ゴルジ体で最終的な加工と仕分けが行われ、目的地へと輸送されます。"
question,,,,,"cell-structure-q6","問6","ミトコンドリアと葉緑体が、細胞内共生によって誕生したとする「細胞内共生説」の根拠となる特徴を2つ挙げなさい。","これらの細胞小器官が、もともとは独立した生物だったかもしれない、と考える理由は何でしょうか。独自の設計図や部品製造工場を持っている点がヒントです。","独自のDNAを持つこと。／独自の ribosome を持ち、タンパク質合成を行うこと。／二重膜構造を持つこと。／分裂によって自己増殖すること。（いずれか2つ）","ミトコンドリアと葉緑体は、細胞核のDNAとは別に独自の環状DNAを持っています。また、細胞質のリボソームとは異なる独自のリボソームを持ち、自己増殖する能力があります。これらの特徴は、これらがかつて独立した原核生物であり、真核細胞に取り込まれて共生したことの名残と考えられています。"
question,,,,,"cell-structure-q7","問7","ある動物細胞からゴルジ体をすべて取り除いた場合、この細胞の機能にどのような影響が出ると考えられるか。特にタンパク質の分泌に着目して具体的に説明しなさい。","ゴルジ体は「細胞の郵便局」や「物流センター」に例えられます。この施設がなくなったら、工場（小胞体）で作られた製品（タンパク質）はどうなるでしょうか。","タンパク質の修飾、選別、および細胞外への分泌が正常に行われなくなる。小胞体で合成されたタンパク質は存在するが、インスリンのようなホルモンや消化酵素などを細胞外に放出できなくなるため、細胞間の情報伝達や栄養の分解などに支障が生じる。","ゴルジ体は、小胞体から送られてきたタンパク質を最終的に修飾・選別し、分泌小胞に詰めて細胞外へ送り出す役割を担っています。そのため、ゴルジ体が機能しないと、細胞はタンパク質を合成できても、それを適切に分泌することができず、個体としての機能維持に重大な影響を及ぼします。"
question,,,,,"cell-structure-q8","問8","植物細胞において、細胞が大きく成長する際に、動物細胞とは異なる方法で体積を増大させる。そのメカニズムの中心となる細胞小器官の名称と、その働きを説明しなさい。","植物細胞の断面図で、特に成熟した細胞で大きな面積を占めている構造は何でしたか。水の貯蔵と関係があります。","液胞","植物細胞は、細胞質そのものを増やすのではなく、主に液胞が水を取り込んで大きく膨らむことで成長します。これにより、細胞壁を外側に押し広げ、細胞全体の体積を効率よく増大させることができます。この仕組みは、動物細胞には見られません。"
question,,,,,"cell-structure-q9","問9","細胞骨格は、細胞の形態維持や運動に重要な役割を果たす。細胞分裂の際に染色体を両極へ移動させる働きを担う細胞骨格の名称を答えなさい。","細胞分裂の際に、染色体を引き寄せる「糸」のような構造物の名前は何でしたか。","微小管（または紡錘糸）","細胞分裂時には、中心体（動物細胞の場合）を起点として微小管が伸長し、紡錘糸を形成します。この紡錘糸が染色体に結合し、両極へ引っ張ることで、娘細胞へ遺伝情報が均等に分配されます。"
question,,,,,"cell-structure-q10","問10","さまざまな細胞小器官を分離する手法として「細胞分画法」がある。この方法は、細胞を破砕した後に遠心分離機にかけることで、質量の異なる細胞小器官を沈殿させるものである。遠心力を段階的に強くしていく場合、次の細胞小器官群 (a)〜(c) はどのような順番で沈殿してくると考えられるか。理由とともに答えなさい。(a) ミトコンドリア (b) 核 (c) リボソーム","「重いものほど、弱い遠心力で先に沈む」という原理に基づいて考えましょう。各細胞小器官の大きさと密度を比較してみてください。","(b) → (a) → (c) の順。理由は、細胞小器官の中で核が最も大きくて重いため、最も弱い遠心力で沈殿する。次に重いのがミトコンドリアであり、より強い遠心力で沈殿する。リボソームは非常に小さく軽いため、最も強い遠心力が必要となるから。","細胞分画法は、細胞小器官の相対的な質量（大きさと密度）の違いを利用します。一般的に、核が最も重く、次いで葉緑体（植物の場合）、ミトコンドリア、小胞体、リボソームの順に軽くなります。したがって、遠心力を弱→中→強と上げていくと、この順番で分離・沈殿させることができます。"
set,cell-transport-1,細胞膜の構造と物質輸送,"細胞膜の構造（流動モザイクモデル）や、受動輸送・能動輸送といった物質の出入りの仕組みに関する問題です。",FALSE,,,,,,
question,,,,,"cell-transport-q1","問1","細胞膜の構造モデルである「流動モザイクモデル」について、空欄に当てはまる語句を答えなさい。細胞膜は、二重層になった（ ア ）の海に、（ イ ）がモザイク状に浮かんでいる構造をしている。（ イ ）や（ ア ）は膜内を比較的自由に動くことができる。","細胞膜の主な骨格となる分子と、そこに埋め込まれている機能的な分子の名前は何でしたか。","（ア）リン脂質 （イ）タンパク質","細胞膜は、疎水性の尾部を内側に、親水性の頭部を外側に向けたリン脂質二重層を基本構造としています。そこに、チャネルや輸送体（担体）として機能する様々なタンパク質が埋め込まれており、これらが流動的に動くことから流動モザイクモデルと呼ばれます。"
question,,,,,"cell-transport-q2","問2","物質輸送に関する次の記述のうち、能動輸送にのみ当てはまる特徴を一つ選びなさい。(1) 濃度勾配に従って物質が移動する。(2) ATPなどのエネルギーを必要とする。(3) 輸送にタンパク質が関与する。(4) 水のような小さな分子が移動する。","「濃度」という坂道に逆らって、物を低いところから高いところへ運ぶには何が必要かを考えてみましょう。","(2)","能動輸送は、濃度勾配に逆らって物質を輸送する仕組みであり、そのためにATPの加水分解などによって得られるエネルギーを必要とします。濃度勾配に従うのは受動輸送です。受動輸送の一種である促進拡散でもタンパク質（輸送体）は関与します。"
question,,,,,"cell-transport-q3","問3","ヒトの赤血球を、濃度の異なる食塩水に入れたときの変化に関する記述として、最も適切なものを一つ選びなさい。(1) 蒸留水（低張液）に入れると、赤血球はしぼむ。(2) 0.9%食塩水（等張液）に入れると、赤血球は破裂（溶血）する。(3) 10%食塩水（高張液）に入れると、赤血球はしぼむ。(4) 10%食塩水（高張液）に入れると、赤血球の形は変化しない。","細胞の内側と外側の水分濃度の差によって、水がどちらの方向に移動するか（浸透）を考えましょう。水は濃度の「薄い」方から「濃い」方へ移動します。","(3)","ヒトの細胞内液とほぼ同じ浸透圧の溶液（等張液）は0.9%食塩水です。これより濃い高張液に入れると、細胞内から水が外へ出てしぼみます。逆に薄い低張液（蒸留水など）に入れると、外から水が細胞内に入ってきて膨張し、やがて細胞膜が耐えきれずに破裂（溶血）します。"
question,,,,,"cell-transport-q4","問4","細胞膜を介した物質輸送において、特定の物質だけを選択的に通過させる性質を何というか。","細胞膜はどんな物質でも通すわけではなく、必要なものを「選んで」通します。この性質を何と呼ぶでしょうか。","選択的透過性","細胞膜は、リン脂質二重層自体が持つ性質と、膜に存在する輸送体やチャネルの働きによって、通過させる物質を選択します。これにより、細胞内外の環境を一定に保つことができます。"
question,,,,,"cell-transport-q5","問5","受動輸送は「単純拡散」と「促進拡散」に分けられる。酸素や二酸化炭素のように、細胞膜のリン脂質二重層を直接透過する輸送様式はどちらか。","気体の分子は非常に小さく、脂質にも溶けやすい性質があります。特別なタンパク質の助けは必要でしょうか。","単純拡散","単純拡散は、酸素や二酸化炭素、脂溶性の低い分子などが、特別な輸送タンパク質を介さずに、濃度勾配に従ってリン脂質二重層を直接通過する現象です。"
question,,,,,"cell-transport-q6","問6","ナトリウムポンプは、細胞内外のナトリウムイオン（Na+）とカリウムイオン（K+）の濃度勾配を維持するために働く能動輸送体である。このポンプが1分子のATPを消費するとき、Na+とK+はそれぞれ細胞の内外どちらの方向に、何分子ずつ輸送されるか。","ナトリウムポンプの働きにより、細胞内は「低ナトリウム・高カリウム」に保たれています。この状態を維持するためには、イオンをどちら向きに汲み出す・汲み入れる必要があるでしょうか。","Na+を細胞外へ3分子、K+を細胞内へ2分子輸送する。","ナトリウムポンプはATPのエネルギーを利用して、細胞内からNa+を3分子汲み出し、細胞外からK+を2分子取り込みます。これにより、細胞内外のイオン濃度勾配が形成・維持され、神経細胞の興奮や様々な物質の二次輸送に利用されます。"
