row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
set,202509-japanese-genji-1,【源氏物語 桐壺】語彙・文法・内容理解,『源氏物語』の冒頭「桐壺」の巻から、桐壺更衣をめぐる宮中の状況を読み解く問題です。重要古語、敬語、文脈の理解が問われます。,FALSE,,,,,,
question,202509-japanese-genji-1,,,,202509-japanese-genji-q1,問1,本文中の「すぐれて時めきたまふありけり」の「時めき」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 胸をときめかせる<br>(イ) 寵愛を受ける<br>(ウ) 忙しく動き回る<br>(エ) 時々お会いする,「時めく」は、その時代に合って栄えるという意味から転じて、特定の権力者から特別に愛されることを指します。,イ,「時めく」は、帝からの寵愛を受けて権勢を得る、という意味で用いられる重要古語です。本文では、桐壺更衣が帝から絶大な寵愛を受けていた状況を示しています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q2,問2,本文中の「いとあつしくなりゆき」の「あつしく」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 病気がちで<br>(イ) 信頼が厚く<br>(ウ) 化粧が厚く<br>(エ) 感情が激しく,「あつし」は漢字で「篤し」と書きます。病が重い、病気がちであるという意味の古語です。,ア,「あつし」は、現代語の「篤実」などに名残がありますが、古文では主に病気がちである、病が重いという意味で使われます。桐壺更衣が周囲からの嫉妬や嫌がらせによる心労で、病気がちになっていく様子を描写しています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q3,問3,本文中の「はかばかしき後見しなければ」の「はかばかしき」の意味として、最も適当なものを次の中から一つ選びなさい。<br><br>(ア) 人数が多くて頼もしい<br>(イ) 身分が非常に高い<br>(ウ) しっかりとして頼れる<br>(エ) 経済的に豊かな,「はかばかし」は、物事が順調に進む様子や、しっかりしている様子を表す言葉です。ここでは「後見（後ろ盾、支援者）」を修飾しています。,ウ,「はかばかしき後見」で「しっかりとした頼りになる後ろ盾」という意味になります。桐壺更衣は、父である大納言を亡くしており、宮中での立場を強力に支えてくれる支援者がいなかったことを示しています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q4,問4,「女御・更衣あまたさぶらひたまひける中に」とあるが、この中の敬語「さぶらひ」が敬意を払っている対象は誰か。本文中の立場や役割で答えなさい。,「さぶらふ」は「お仕えする」という意味の謙譲語です。女御や更衣たちが誰にお仕えしているのかを考えましょう。,桐壺帝,「さぶらひ」は、お仕えする相手を高める謙譲語です。女御・更衣がお仕えしている相手は帝なので、ここでは桐壺帝に対して作者が敬意を払っています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q5,問5,「女御・更衣あまたさぶらひたまひける中に」とあるが、この中の敬語「たまひ」が敬意を払っている対象は誰か。本文中の立場や役割で答えなさい。,「たまふ」は「～なさる」という意味の尊敬語で、動作の主体を高めます。「さぶらふ（お仕えする）」という動作をしているのは誰かを考えましょう。,女御・更衣,「たまひ」は、動作主を高める尊敬語です。ここでは「さぶらふ」という動作をしている「女御・更衣」に対して、作者が敬意を払っています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q6,問6,「人のそしりをもえ憚らせたまはず、世のためしにもなりぬべき御もてなしなり」とありますが、これは誰のどのような行為を指しているか。30字程度で簡潔に説明しなさい。,主語は省略されていますが、文脈から帝の行動であることがわかります。「そしり」を気にせず、桐壺更衣を「もてなし」たのです。それが「世のためし（世の語り草）」になると言われています。,桐壺帝が、周囲の非難も気にせず桐壺更衣を度を超して寵愛なさる行為。,帝が桐壺更衣を深く愛するあまり、他の人々からの非難や忠告も気になさらないほどの寵愛ぶりであったことを指します。この過剰な寵愛が、良くない前例として後世までの語り草になってしまうだろうと懸念されています。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q7,問7,本文中に「唐土にも、かかる事の起こりにこそ、世も乱れ悪しかりけれと」とありますが、これは中国のどのような歴史上の故事を念頭に置いた表現か。最も関係の深い人物を次の中から一人選びなさい。<br><br>(ア) 孔子<br>(イ) 楊貴妃<br>(ウ) 西太后<br>(エ) 始皇帝,皇帝が特定の女性を溺愛したことが原因で、国が乱れたという有名な故事が引かれています。,イ,中国・唐の玄宗皇帝が楊貴妃を寵愛しすぎたために政治が乱れ、安禄山の乱を引き起こし国が傾いた、という故事を指しています。帝の桐壺更衣への寵愛が、国を乱すことになりかねないと世間の人々が噂している場面です。
question,202509-japanese-genji-1,,,,202509-japanese-genji-q8,問8,桐壺更衣が宮中で心細く思っていた理由として、本文に書かれているものを二つ、それぞれ15字以内で抜き出しなさい。,桐壺更衣を支えるべき存在がいなかったことが述べられています。一つは父親について、もう一つはそれ以外の支援者についての記述を探しましょう。、「父の大納言は亡くなりて」と「はかばかしき後見しなければ」が該当します。,,
question,202509-japanese-genji-1,,,,202509-japanese-genji-q9,問9,生まれた皇子（光源氏）について、「この御にほひには並びたまふべくもあらざりければ」とありますが、誰が何において光源氏に及ばないと述べられているか。簡潔に説明しなさい。,「一の皇子は、右大臣の女御の御腹にて」という記述が直前にあります。「にほひ」は、ここでは美しさや輝き、気品といったオーラを指します。,第一皇子が、その輝くような美しさにおいて光源氏に及ばないこと。,第一皇子は、次期天皇として申し分のない後ろ盾を持つ存在ですが、こと容貌の輝きや気品においては、生まれたばかりの光源氏には到底かなわない、と述べられています。これにより光源氏の並外れた美しさが強調されています。
