row_type,set_id,set_title,set_description,is_math,q_id,q_num,question_text,hint,answer,explanation
set,es-ch1-plate,プレートテクトニクス,地球の表面を覆うプレートの動き、境界の種類、地形形成に関する問題です。,FALSE,,,,,,
question,,,,,"es-ch1-q1","問1","地球の表面を覆う、十数枚の硬い岩盤を何と呼ぶか。","地殻とマントル最上部の硬い部分を合わせたものです。","プレート","地球の表面は、厚さ約100kmの硬い岩盤である「プレート」に覆われています。プレートは、地殻とマントル最上部のリソスフェアからなり、その下の流動性のあるアセノスフェアの上を移動しています。"
question,,,,,"es-ch1-q2","問2","プレートが生成され、両側に広がっていく境界を「広がる境界」という。この境界に見られる代表的な海底地形は何か。","海底にある巨大な山脈のような地形です。マントルから上昇してきたマグマによって形成されます。","海嶺","広がる境界では、マントルから上昇してきたマグマが新しい海洋プレートを生成し、左右に押し広げています。これにより、海底には長く連なる巨大な山脈である「海嶺」が形成されます。"
question,,,,,"es-ch1-q3","問3","プレートが他のプレートの下に沈み込んでいく境界を「収束する境界」という。この境界に見られる代表的な溝状の海底地形は何か。","日本列島の東側にも存在する、水深が非常に深い場所です。","海溝","収束する境界では、一方のプレートがもう一方のプレートの下に沈み込みます。この沈み込み帯に沿って、細長く水深の深い溝状の地形である「海溝」が形成されます。"
question,,,,,"es-ch1-q4","問4","大陸プレートと大陸プレートが衝突する場所では、どのような大規模な山脈が形成されるか。ヒマラヤ山脈を例に説明しなさい。","密度の似たもの同士がぶつかると、どうなるでしょうか。どちらか一方が沈み込むことは難しいです。","褶曲山脈。大陸プレートは海洋プレートに比べて密度が小さいため、一方が他方の下に大きく沈み込むことができない。そのため、両者が衝突した際に圧縮され、地層が大きく曲がりくねり（褶曲し）、隆起することで巨大な山脈を形成する。","ヒマラヤ山脈は、インド大陸を乗せたインド・オーストラリアプレートが、ユーラシアプレートに衝突して形成されました。このような大陸プレート同士の衝突によってできた山脈を「褶曲山脈」と呼びます。"
question,,,,,"es-ch1-q5","問5","プレート同士がすれ違う境界を何と呼ぶか。また、この境界に沿って形成される、横ずれの断層の名称を答えなさい。","アメリカ西海岸のサンアンドレアス断層が有名です。境界の英語名を考えてみましょう。","すれ違い型境界（またはトランスフォーム境界）、トランスフォーム断層","プレートが互いに水平方向にすれ違う境界を「すれ違い型境界」と呼びます。ここには、プレートの動きによって横ずれの大きな断層「トランスフォーム断層」が形成され、地震が頻繁に発生します。"
question,,,,,"es-ch1-q6","問6","プレートの動きの原動力となっている、地球内部の熱の流れによって生じる運動を何と呼ぶか。","温められた液体が上昇し、冷えた液体が下降する現象です。味噌汁を温めたときに見られる動きに似ています。","マントル対流","地球内部の核からの熱で温められたマントルが上昇し、地表近くで冷やされて下降するという、ゆっくりとした循環運動が起きています。これを「マントル対流」と呼び、この流れがプレートを動かす主な原動力であると考えられています。"
question,,,,,"es-ch1-q7","問7","（図は省略）A、B、Cの境界の種類をそれぞれ答えなさい。また、それぞれの境界で活発な火山活動が見られる場所をすべて選び、記号で答えなさい。（A:海嶺 B:海溝 C:トランスフォーム断層）","Aではプレートが生まれています。Bではプレートが沈み込んでいます。Cではプレートがすれ違っています。火山活動は、マグマが地表に出てくる場所で起こります。","A: 広がる境界, B: 収束する境界, C: すれ違い型境界。火山活動が見られる場所: A, B","Aの海嶺ではマントル物質が上昇してマグマとなり、火山活動が起こります。Bの海溝では、沈み込むプレートから放出された水分の影響でマグマができ、火山活動が起こります。Cのすれ違い型境界では火山活動はほとんど見られません。"
question,,,,,"es-ch1-q8","問8","ハワイ諸島のように、プレート境界ではないにもかかわらず、火山活動が活発な場所を何と呼ぶか。また、その成因を「マントル」という語句を用いて簡潔に説明しなさい。","プレートが動いても、マグマの供給源の位置はほとんど変わりません。","ホットスポット。成因: 地球深部のマントルから、高温の物質（プルーム）が上昇してきており、その熱によってプレートを溶かし、マグマを継続的に供給しているため。","プレート境界から離れた場所にもかかわらず、局所的に火山活動が活発な地点を「ホットスポット」と呼びます。プレートが移動することで、ハワイ諸島のように火山島が列をなして形成されます。"
question,,,,,"es-ch1-q9","問9","日本列島周辺には、4つのプレートがひしめき合っている。日本海溝や南海トラフは、これらのプレートがどのように相互作用している場所に形成されているか説明しなさい。","海洋プレートと大陸プレートの境界で何が起こるかを考えましょう。どちらのプレートがどちらの下に沈み込んでいますか？","日本海溝は、海洋プレートである太平洋プレートが、大陸プレートである北米プレートの下に沈み込む場所に形成されている。南海トラフは、海洋プレートであるフィリピン海プレートが、大陸プレートであるユーラシアプレートの下に沈み込む場所に形成されている。","日本周辺は、複数のプレートがぶつかり合う複雑な環境にあります。これが、日本で地震や火山活動が活発な原因です。"
question,,,,,"es-ch1-q10","問10","もし、地球内部のマントル対流が現在のパターンとは全く異なる、より不規則で小規模な多数の対流に変化した場合、地表のプレート運動や地形の形成はどのように変わると考えられるか。考えられる変化を2つ以上、理由とともに述べなさい。","対流の規模がプレートの大きさに影響すると考えられます。大きなプレートを動かす力は生まれるでしょうか。","(解答例) ①プレートのサイズが現在よりも小さくなり、数が増える。理由: マントル対流の規模が小さくなることで、プレートを動かす範囲も狭くなり、結果として小さなプレートが多数形成されると考えられるため。②現在のヒマラヤ山脈のような大規模な山脈の形成が少なくなる。理由: 小規模な対流では、大陸プレート同士を衝突させるほどの巨大なエネルギーが生まれにくくなると考えられるため。","現在のプレートテクトニクスの原動力（マントル対流）と地表の現象（プレートの大きさ、地形形成）との関係を深く理解しているかを問う思考力問題です。論理的な理由が述べられていれば正解となりえます。"
set,es-ch2-plate-history,プレートテクトニクスの成立,大陸移動説からプレートテクトニクス理論が確立するまでの歴史や証拠に関する問題です。,FALSE,,,,,,
question,,,,,"es-ch2-q1","問1","20世紀初頭に、現在の大陸がかつては一つの巨大な大陸（パンゲア）であったとする「大陸移動説」を提唱したドイツの気象学者は誰か。","極地探検や気象学の研究で知られる人物です。","アルフレート・ウェーゲナー","ウェーゲナーは1912年に「大陸移動説」を発表しました。彼は、様々な根拠から、元々一つだった大陸が分裂して現在の位置まで移動したと考えましたが、原動力を説明できず当時は受け入れられませんでした。"
question,,,,,"es-ch2-q2","問2","ウェーゲナーが大陸移動説の根拠として挙げた事柄を2つ答えなさい。","地図を眺めて気づくことと、今は遠く離れた大陸で見つかる共通のものを考えてみましょう。","(例) ①大西洋を挟んだ大陸（南米大陸東岸とアフリカ大陸西岸）の海岸線の形状がよく一致する。②複数の大陸にまたがって、同じ種類の古生物の化石や、過去の氷河の痕跡が分布している。","ウェーゲナーは、地形学、古生物学、地質学、古気候学など、多岐にわたる分野から大陸移動の根拠を集めました。"
question,,,,,"es-ch2-q3","問3","大陸移動説は発表当初、多くの科学者に受け入れられなかった。その最大の理由とされている、説明できなかったことは何か。","「どうやって巨大な大陸が動くのか？」という根本的な疑問に答えられませんでした。","大陸を動かす原動力（メカニズム）。","ウェーゲナーが考えた力は、巨大な大陸を動かすには全く不十分でした。具体的なメカニズムを説明できなかったことが、彼の説が長らく受け入れられなかった最大の理由です。"
question,,,,,"es-ch2-q4","問4","第二次世界大戦後、海洋底の調査が進み、海嶺を中心に海底が両側へ拡大しているとする「海洋底拡大説」を提唱したアメリカの科学者は誰か。","海洋地質学者で、潜水艇での調査記録などから着想を得ました。","ハリー・ヘス","ヘスは1962年、海嶺で新しい海洋底が生まれ、それが両側に広がっていくという「海洋底拡大説」を提唱し、大陸移動のメカニズムを解明する大きな一歩となりました。"
question,,,,,"es-ch2-q5","問5","海洋底拡大説を強く裏付ける証拠となった、海嶺を軸として対称的に見られる地磁気の縞模様の発見について、この縞模様がどのようにして形成されるのか簡潔に説明しなさい。","地球の磁場は、時代によってN極とS極が逆転してきました。マグマが冷えて固まるとき、その時の磁場の向きが記録されます。","海嶺で生成されたマグマが冷えて固まる際に、その時の地球の磁場の向きに磁化される。地球の磁場は周期的に逆転するため、海底が拡大するにつれて、地磁気逆転の記録が海嶺を軸として対称的な縞模様として残るため。","地球の磁場が過去に何度も逆転した記録が、まるでバーコードのように海嶺を挟んで対称的な縞模様として記録されているのです。"
question,,,,,"es-ch2-q6","問6","海洋底の堆積物の年代や厚さは、海嶺から離れるにつれてどのように変化するか。","海嶺はプレートが生まれる場所です。生まれたばかりの場所と、そこから遠く離れた場所を比べてみましょう。","海嶺から離れるにつれて、年代は古くなり、厚さは増す。","海嶺で新しい海洋底が生まれ、そこから離れるほど古い海洋底になります。堆積物は長い時間をかけて降り積もるので、古い海洋底ほど堆積物は厚くなります。この事実は、海洋底拡大説を裏付ける重要な証拠です。"
question,,,,,"es-ch2-q7","問7","GPSなどの宇宙測地技術の発達は、プレートテクトニクスの証明に決定的な役割を果たした。GPS観測によって、プレートのどのような情報が直接的に得られるようになったか。具体的に説明しなさい。","GPSは、非常に正確な位置を測定できる技術です。その位置が時間とともにどう変わるかを観測します。","プレートが「現在」、年間どの方向に、どれくらいの速さで動いているかという、プレートの移動方向と速度。","GPSを用いると、地表の点の位置を数mmの精度で測定できます。これにより、大陸や島が年間数cmずつ移動していることが直接的に観測できるようになり、「プレートが現在も動いている」という動かぬ証拠となりました。"
question,,,,,"es-ch2-q8","問8","海洋プレートと大陸プレートの年齢に大きな違いがあるのはなぜか、「密度」という語句を用いて説明しなさい。","密度の大きいものと小さいものがぶつかったとき、どちらが下にいきますか？","海洋プレートは大陸プレートよりも密度が大きいため、海溝でマントル中に沈み込んでしまう。一方、大陸プレートは密度が小さいため沈み込まず、地表に残り続けるため、古い時代の岩石が保存されるから。","密度の大きい海洋プレートはリサイクルされますが、密度の小さい大陸プレートは地表に浮かび続ける「いかだ」のような存在です。そのため、大陸には地球の古い歴史が記録されています。"
question,,,,,"es-ch2-q9","問9","岩石に残された残留磁気の「偏角」と「伏角」は、それぞれその岩石が形成された当時の何を知る手がかりとなるか。","偏角は方位磁針のN極が指す方向、伏角は方位磁針が水平面からどれだけ傾くかを示します。","偏角: その岩石ができた場所の当時の（地理上の）北の方角。伏角: その岩石ができた場所の当時の緯度。","マグマが冷えて固まる際、岩石中の磁性鉱物は当時の地球磁場の向きを向いて固定されます。これにより、過去の大陸の位置や向きを復元することが可能です。"
question,,,,,"es-ch2-q10","問10","ウェーゲナーの大陸移動説から、プレートテクトニクス理論が確立するまでに、どのような科学技術の進歩が特に重要であったと考えられるか。具体的な技術名を2つ挙げ、それぞれがどのように理論の証明に貢献したかを説明しなさい。","海の底を調べる技術と、目に見えない力を測る技術の進歩が鍵となりました。","(解答例) ①音響測深機（ソナー）: 海底地形の詳細な調査を可能にし、海嶺や海溝の存在を明らかにした。②高感度の磁力計: 海洋底の地磁気の強弱を測定し、地磁気の縞模様を発見した。これが海洋底拡大の決定的な証拠となった。","科学理論の発展には、それを裏付ける観測技術の進歩が不可欠です。見えない海底の地形や磁気を可視化する技術が、理論を飛躍させました。"
set,es-ch3-earthquake,地震,地震の発生メカニズム、波の種類、規模と震度、分布に関する問題です。,TRUE,,,,,,
question,,,,,"es-ch3-q1","問1","地震が発生した地球内部の場所を何と呼ぶか。また、その真上の地表の点を何と呼ぶか。","地震の「源」となる場所と、その「中央」にあたる地表の点です。","震源、震央","地下の岩盤が破壊されて起こる、その破壊が始まった最初の点を「震源」、その真上にある地表の点を「震央」と呼びます。"
question,,,,,"es-ch3-q2","問2","地震の揺れが始まってから、最初に到達する小刻みな揺れを何と呼ぶか。また、その揺れを伝える波の名称を答えなさい。","英語では ""Primary wave""（最初の波）と呼ばれます。","初期微動、P波","地震が発生するとP波（縦波）とS波（横波）が同時に発生します。P波は伝わる速さが速いため、先に到達し、「初期微動」と呼ばれる小刻みな揺れを引き起こします。"
question,,,,,"es-ch3-q3","問3","初期微動の後にやってくる、大きな揺れを何と呼ぶか。また、その揺れを伝える主な波の名称を答えなさい。","英語では ""Secondary wave""（2番目の波）と呼ばれます。","主要動、S波","S波はP波よりも伝わる速さが遅いため、初期微動の後に到達します。S波は地面を大きく揺らす横波であり、建物などに大きな被害をもたらす「主要動」を引き起こします。"
question,,,,,"es-ch3-q4","問4","地震そのもののエネルギーの大きさを示す尺度を何と呼ぶか。","ニュースで「M7.3」のように報じられる数値です。","マグニチュード","マグニチュードは、震源で放出された地震のエネルギーの大きさを示す指標です。一つの地震に対してマグニチュードの値は一つだけで、場所によって変わることはありません。"
question,,,,,"es-ch3-q5","問5","ある地点での地震による揺れの強さを表す尺度を何と呼ぶか。日本では10階級で表される。","「渋谷区は震度5強」のように、場所ごとに発表される指標です。","震度","震度は、ある場所における地震の揺れの強さを表す指標です。震源からの距離や地盤の固さなどによって、同じ地震でも場所によって揺れの強さは異なります。日本では気象庁震度階級（0〜7の10階級）が用いられます。"
question,,,,,"es-ch3-q6","問6","震源から100km離れた地点で、初期微動継続時間が12.5秒であった。この地域を伝わるP波の速さを8km/sとすると、S波の速さは何km/sか。","初期微動継続時間 ＝ (S波が到着するまでの時間) ー (P波が到着するまでの時間) です。「時間＝距離÷速さ」の関係を使いましょう。","4 km/s","P波の到着時間は100km / 8km/s = 12.5秒。S波の到着時間は、初期微動継続時間から逆算して12.5秒 + 12.5秒 = 25秒。よってS波の速さは100km / 25秒 = 4km/sとなります。"
question,,,,,"es-ch3-q7","問7","世界の地震の震源は、特定の地域に帯状に分布している。その中でも、日本列島を含み、太平洋を取り囲むように分布する地震帯を何と呼ぶか。","火山の分布とほぼ一致しており、「炎の輪」とも呼ばれます。","環太平洋地震帯","世界の地震の約90%は環太平洋地震帯で発生しています。これは、太平洋プレートが周囲の大陸プレートの下に沈み込んでいる場所に相当し、火山活動も活発です。"
question,,,,,"es-ch3-q8","問8","「海溝型地震」に対し、内陸部の活断層のずれによって発生する地震を何と呼ぶか。また、両者の特徴（規模、被害の範囲など）を比較して説明しなさい。","震源がプレート境界にあるか、プレートの内部にあるかの違いです。","内陸型地震（または活断層型地震）。比較：海溝型地震は規模が大きく広範囲に揺れ、津波を伴うことが多い。一方、内陸型地震は規模は小さいが震源が浅く、局所的に甚大な被害をもたらすことがある。","東日本大震災は海溝型地震、阪神・淡路大震災や熊本地震は内陸型地震の代表例です。発生メカニズムと被害の様相が異なるため、この違いを理解することは重要です。"
question,,,,,"es-ch3-q9","問9","地震が発生した際に、地盤が液体のようにふるまう現象を何と呼ぶか。また、この現象が起こりやすい地形の例を挙げなさい。","水を多く含んだ砂質の地盤で起こりやすい現象です。","液状化現象（または流動化現象）。起こりやすい地形の例：埋め立て地、三角州、旧河道。","液状化現象は、地下水位が高く、緩く堆積した砂地盤が、地震の強い揺れによって液体のようにドロドロになる現象です。これにより、建物が沈んだり傾いたりします。"
